Factor,Coefficient,Wald stat.,P values,Model P value
Total Biomass,-1.9754062745227552,12.670272177610958,0.00037151544596365635,1.5750758237008713e-05
Bact Richness,-1.2474790029697123,9.236997035933422,0.0023717359147712035,
Fungi Richness,-1.4349955524080167,11.104472836232562,0.0008611976507530079,
