Factor,Coefficient,Wald stat.,P values,Model P value
Total Biomass,-1.4435604928776868,32.11747252673532,1.4512622554540534e-08,1.0347659251064246e-10
Bact Richness,-2.539996213964823,64.15347487356061,1.1509482282128366e-15,
Fungi Richness,-0.1508236234521187,0.7087842260776139,0.39984771504231353,
