Factor,Coefficient,Wald stat.,P values,Model P value
Total Biomass,-0.6787022339057266,5.94551371425531,0.01475479045751705,9.485266735838549e-06
Bact Richness,-1.5458247276260206,17.89562829992353,2.3335653521008227e-05,
Fungi Richness,0.4333594451698827,2.4240876857720504,0.1194827852641511,
