Sample ID,Total Biomass,Fungi Richness,Bact Richness,Bact Diversity,DOC,DOC_cont
56_B,469.666666666667,23,194,4.541047228,Low,5.75
57_A,1144.06666666667,18,160,4.020434081,Low,6.46
57_B,819.034482758621,35,194,4.212181222,Low,6.54
57_C,391.4,12,137,3.521883411,Low,6.46
59_A,689.466666666667,10,136,3.813007512,Low,6.415
59_C,940.6875,12,122,3.831437374,Low,6.75
64_A,551.677419354839,10,128,3.35179219,Low,17.21
64_B,555.225806451613,16,172,4.121056589,Low,12.71
64_C,431,14,166,3.903275026,Low,10.665
6_A,423.612903225806,19,67,2.946649125,High,6.125
6_B,503.25,11,58,2.663674973,High,5.835
6_C,377.724137931035,14,95,3.520669578,High,7.335
70_A,549.41935483871,10,137,3.22648947,Low,5.125
70_B,646.551724137931,10,144,3.930846231,Low,6.165
72_B,501.2,13,128,3.701316787,High,8.79
72_C,446.266666666667,10,132,3.561513259,High,11.415
77_B,699.935483870968,18,174,3.965708223,Low,5.915
77_C,565.931034482759,11,134,3.867031162,Low,5.96
78_B,641.483870967742,11,134,3.681844093,Low,5.875
78_C,234.4,14,163,4.099972758,Low,4.915
79_A,353.379310344828,20,121,3.469736531,High,9.25
80_B,845.25,9,115,3.215404499,High,9.915
80_C,500.064516129032,12,129,3.869200337,High,10.5
81_A,190.451612903226,14,88,3.550128103,High,13.125
81_B,421.266666666667,10,126,3.46502844,High,11.625
82_A,346.258064516129,18,101,3.083674266,High,8.335
82_C,333.161290322581,12,129,3.136322181,High,4.96
83_A,265.870967741935,21,136,3.593887035,High,6.915
83_C,401.034482758621,24,104,3.456338911,High,6.085
85_A,680.620689655173,20,160,4.171511164,Low,5.71
85_B,502,28,145,4.16022951,Low,5.665
85_C,649.448275862069,17,145,3.859910786,Low,4.29
88_A,1086.33333333333,17,129,3.677504927,Low,3.75
88_B,714,24,140,4.09128269,Low,6.25
89_A,1448.38709677419,22,176,3.679332917,Low,11.585
89_B,1857.41935483871,13,138,3.639221249,Low,11.375
89_C,301.333333333333,13,167,4.098464046,Low,10.46
8_A,855.333333333333,42,57,2.392032222,High,8.375
8_B,853.677419354839,45,57,2.366391902,High,7.29
8_C,437.655172413793,35,82,2.846896374,High,10.585
