Taxa,RF Importance,NN Importance,IS stat,IS Site Label,IS P value,K
Gibberella,1.0,1.0,0.564094064683602,High,0.05,0.0
Gibberella,1.0,1.0,0.5851310604401049,High,0.0,1.0
Gibberella,1.0,1.0,0.5924500899586648,High,0.01,2.0
Emericella,0.598529580065436,0.8016282313306624,0.5302410232278245,High,0.025,4.0
Gibberella,1.0,1.0,0.5772821278057272,High,0.03,8.0
Gibberella,1.0,0.9503452543383266,0.5881608325899474,High,0.03,9.0
Gibberella,1.0,1.0,0.5749211661751041,High,0.035,12.0
